"Objet","Début","Début","Fin","Fin","Catégories"
"Préparation docs/goodies JANE + Troc vide jardin","13/10/2022","13:30:00","13/10/2022","14:00:00","Animation-Stand"
"Prépa anim ""Journées de l'éducation"" 24 et 25/10","21/10/2022","14:00:00","21/10/2022","15:00:00"
"prépa anim la source","19/10/2022","15:30:00","19/10/2022","16:00:00","Animation-Stand"
"Administratif ","12/10/2022","15:00:00","12/10/2022","17:30:00","Administratif/communication"
"Terrain ","13/10/2022","14:00:00","13/10/2022","15:30:00","Action terrain"
"Appeler écoles GZG","17/10/2022","12:00:00","17/10/2022","12:30:00","Action jeunesse"
"Mails","17/10/2022","09:00:00","17/10/2022","10:00:00","Administratif/communication"
"RDV GZG - Ecole Louis Aragon","18/10/2022","15:00:00","18/10/2022","16:00:00","Action jeunesse"
"RDV GZG","20/10/2022","10:30:00","20/10/2022","12:00:00","Action jeunesse"
"MAJ tableau anim (anim compostage samedi) + nettoyer ","18/10/2022","12:00:00","18/10/2022","12:30:00","Administratif/communication"
"Journée de l'éducation 2022","25/10/2022","09:00:00","25/10/2022","12:00:00","Animation-Stand"
"point journées éduction","17/10/2022","14:00:00","17/10/2022","14:30:00","Réunion-Entretien"
"Aménagement DGD","20/10/2022","12:30:00","20/10/2022","13:30:00","Réunion-Entretien"
"Mails + administratif","18/10/2022","09:00:00","18/10/2022","10:00:00","Administratif/communication"
"Zoé 680","20/10/2022","10:00:00","20/10/2022","10:30:00"
"Transfert d'heures","25/10/2022","16:30:00","25/10/2022","17:00:00","Administratif/communication"
"Point jeu Challenge","19/10/2022","14:00:00","19/10/2022","15:30:00","Administratif/communication"
"Appeler La Ressourcerie AAA","19/10/2022","11:00:00","19/10/2022","11:30:00","Administratif/communication"
"Point La Source","20/10/2022","09:00:00","20/10/2022","10:00:00","Administratif/communication"
"Mails + administratif","19/10/2022","11:30:00","19/10/2022","14:00:00","Administratif/communication"
"Départ 8H30","24/10/2022","08:30:00","24/10/2022","09:00:00","Animation-Stand"
"MAJ Tableau Actions terrain","25/10/2022","13:30:00","25/10/2022","14:30:00","Administratif/communication"
"Administratif","18/10/2022","14:00:00","18/10/2022","15:00:00","Administratif/communication"
"Point jeu Challenge","26/10/2022","11:00:00","26/10/2022","12:30:00","Administratif/communication"
"Administratif","20/10/2022","14:00:00","20/10/2022","17:30:00","Administratif/communication"
"Administratif","18/10/2022","16:00:00","18/10/2022","18:00:00","Administratif/communication"
"Point échanges","24/10/2022","14:30:00","24/10/2022","16:00:00","Action terrain"
"Départ 8H30","25/10/2022","08:30:00","25/10/2022","09:00:00","Animation-Stand"
"sensibilisation / Collect bac jaune","27/10/2022","11:30:00","27/10/2022","12:30:00","Action terrain"
"Préparer affiches tri + communication pour 4 agents","27/10/2022","11:00:00","27/10/2022","11:30:00","Administratif/communication"
"RDV Mme Cendrier ORPI","26/10/2022","17:30:00","26/10/2022","18:30:00"
"Inventaire jeu Challenge","24/10/2022","13:30:00","24/10/2022","14:30:00","Administratif/communication"
"Administratif","24/10/2022","16:00:00","24/10/2022","17:30:00","Administratif/communication"
"Administratif","21/10/2022","10:30:00","21/10/2022","12:30:00","Administratif/communication"
"Administratif","25/10/2022","14:30:00","25/10/2022","16:30:00","Administratif/communication"
"Point jeunesse + Point jeu Challenge","27/10/2022","14:00:00","27/10/2022","15:00:00","Action jeunesse"
"Appeler SPA","27/10/2022","10:30:00","27/10/2022","11:00:00","Administratif/communication"
"Mails + administratif","26/10/2022","08:30:00","26/10/2022","09:30:00","Administratif/communication"
"Administratif","26/10/2022","16:00:00","26/10/2022","17:30:00","Administratif/communication"
"Montage corbeilles tri/DMR","27/10/2022","09:00:00","27/10/2022","10:30:00","Rangement/tri/déménagement"
"Mails","27/10/2022","08:30:00","27/10/2022","09:00:00","Administratif/communication"
"terrain pour jeu","26/10/2022","09:30:00","26/10/2022","11:00:00","Action terrain"
"Apporter documents","31/10/2022","14:00:00","31/10/2022","15:00:00","Action terrain"
"Administratif","27/10/2022","15:00:00","27/10/2022","17:30:00","Administratif/communication"
"Rangement - Jeu Challenge","28/10/2022","15:00:00","28/10/2022","16:00:00","Rangement/tri/déménagement"
"Mails","28/10/2022","13:30:00","28/10/2022","15:00:00","Administratif/communication"
"Administratif","28/10/2022","16:00:00","28/10/2022","17:00:00","Administratif/communication"
"Cartes jeu Challenge","31/10/2022","16:00:00","31/10/2022","17:00:00","Administratif/communication"
"Point PAV Benoit","31/10/2022","15:30:00","31/10/2022","16:00:00","Réunion-Entretien"
"Administratif","31/10/2022","15:00:00","31/10/2022","15:30:00","Administratif/communication"
"Mails + administratif","31/10/2022","11:00:00","31/10/2022","13:00:00","Administratif/communication"
